Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
296,1300,5000,9400,14800,22200,29600,33800,27600,42000,65100,60100,70900,87500,96000,104800,136600,143900,154700,175700,189500,207100,232100,244900,273500,294300,317500,313800,369500,379000,400200,440200,448100,496700,516400,553300,570800,595300,642400,651600,710900,749400,901500,1.0081e+06,1.0359e+06,1.0936e+06,1.2136e+06,1.2116e+06,1.2639e+06,1.2535e+06,1.3542e+06,1.3788e+06,1.5396e+06,1.5606e+06,1.7482e+06,1.3143e+06,1.684e+06,1.4613e+06,1.5838e+06,1.5285e+06,1.5672e+06,1.6189e+06,1.698e+06,1.7154e+06,1.7957e+06,1.8592e+06,1.8849e+06,1.9584e+06,1.8245e+06,2.0762e+06,2.1595e+06,2.1338e+06,2.201e+06,2.3016e+06,3.2372e+06,3.2023e+06,3.2674e+06,3.6912e+06,3.4391e+06,3.5852e+06,3.917e+06,3.888e+06,3.8631e+06,3.8147e+06,4.0472e+06,4.2733e+06,4.0574e+06,4.2467e+06,4.4534e+06,4.5627e+06,4.9737e+06,4.5608e+06,4.6874e+06,4.9492e+06,4.9967e+06,4.9009e+06,5.1401e+06,5.234e+06,5.2405e+06,5.4667e+06,5.2856e+06
297,1300,2800,5600,9500,14300,19800,26300,34300,43300,49400,79900,74500,85600,100700,111700,148400,153900,157100,167300,190400,207500,236300,236700,277800,393500,307000,332100,379100,360100,380100,413900,456200,581900,516800,540300,591800,617800,653800,661300,720100,733800,793300,739800,810400,875300,939000,994100,999900,1.0228e+06,1.0915e+06,1.092e+06,1.3469e+06,1.5577e+06,1.5338e+06,1.6396e+06,1.687e+06,1.7083e+06,1.8613e+06,1.9207e+06,1.903e+06,2.1366e+06,2.0639e+06,2.2188e+06,2.3177e+06,2.3563e+06,2.3465e+06,2.4929e+06,2.7929e+06,2.6596e+06,2.7087e+06,2.7095e+06,2.6623e+06,3.0024e+06,3.1202e+06,3.0975e+06,3.1205e+06,3.061e+06,3.2256e+06,3.259e+06,3.2489e+06,2.7428e+06,3.0282e+06,3.2235e+06,3.5229e+06,4.0993e+06,3.9557e+06,4.069e+06,4.3198e+06,4.58e+06,4.3142e+06,4.5146e+06,4.9276e+06,4.722e+06,5.1312e+06,4.9573e+06,5.0104e+06,5.3214e+06,5.2979e+06,5.299e+06,6.6553e+06
298,1700,4100,8200,14300,20900,27400,38900,48600,59000,72500,87400,103700,110000,173100,245900,120600,143300,214300,235500,242800,280900,299100,333900,342700,372400,402400,485500,457000,492900,577800,486700,455600,483300,507400,573100,596100,602600,654400,669200,722600,747800,903600,908500,854300,885100,896300,944600,988300,1.0469e+06,1.4837e+06,1.4388e+06,1.5146e+06,1.681e+06,1.3811e+06,1.5098e+06,1.384e+06,1.4149e+06,1.4989e+06,1.4759e+06,1.5821e+06,1.6142e+06,1.6445e+06,2.1813e+06,2.1709e+06,2.2789e+06,2.4647e+06,2.7114e+06,2.7286e+06,2.5384e+06,2.0796e+06,2.7478e+06,2.8834e+06,2.9984e+06,3.0197e+06,3.0906e+06,3.2377e+06,3.4127e+06,3.474e+06,3.4054e+06,3.4626e+06,3.7221e+06,3.7679e+06,3.7317e+06,3.9404e+06,4.3162e+06,3.9375e+06,4.3094e+06,4.0848e+06,4.4052e+06,4.7024e+06,4.4776e+06,5.3304e+06,5.0765e+06,6.2871e+06,5.2388e+06,5.4133e+06,5.6288e+06,5.4318e+06,5.8353e+06,5.711e+06
299,1800,4200,8000,12500,19900,27000,36400,50200,40100,53800,59300,92800,78600,95800,128800,126100,144400,158200,201400,190700,214300,222100,241500,275500,278200,331900,337100,346700,380200,393700,420400,444900,470000,530300,543600,570200,616300,639100,653000,708000,718500,759500,781500,870800,898300,902300,965700,1.0521e+06,1.0392e+06,1.0847e+06,1.108e+06,1.1745e+06,1.254e+06,1.245e+06,1.3429e+06,1.3599e+06,1.3881e+06,1.4703e+06,1.5401e+06,1.5674e+06,1.6737e+06,1.6432e+06,1.8299e+06,1.8401e+06,1.7985e+06,1.8844e+06,2.2005e+06,2.3488e+06,2.3889e+06,2.1394e+06,2.1838e+06,2.276e+06,2.2615e+06,2.3582e+06,2.4521e+06,2.4765e+06,2.5245e+06,2.8513e+06,2.6776e+06,2.8406e+06,2.8522e+06,2.9049e+06,2.9198e+06,2.996e+06,3.1943e+06,3.1215e+06,3.3561e+06,3.4861e+06,3.3049e+06,3.6321e+06,3.5822e+06,4.4534e+06,4.3951e+06,4.7162e+06,4.9426e+06,5.1162e+06,5.2547e+06,5.3918e+06,5.6079e+06,5.4445e+06
300,1800,4500,7700,9700,13600,19000,26400,34600,42600,57100,62600,70700,94300,97400,108000,123400,144400,152700,171900,200800,213900,221800,245900,255600,293500,299400,367700,556600,358100,416600,422400,460500,490800,523800,547000,593600,595700,647400,671600,737800,722900,769900,826200,850800,854100,900900,1.0633e+06,973900,1.0128e+06,1.0751e+06,1.1144e+06,1.1959e+06,1.2252e+06,1.308e+06,1.3138e+06,1.6251e+06,1.7098e+06,1.4618e+06,1.5255e+06,1.5999e+06,1.7765e+06,1.748e+06,1.7618e+06,1.8395e+06,1.8504e+06,2.4068e+06,2.4755e+06,2.5778e+06,2.6822e+06,2.5484e+06,2.8909e+06,3.2927e+06,3.0787e+06,3.1611e+06,3.0809e+06,3.2455e+06,3.289e+06,3.3304e+06,3.0267e+06,3.1748e+06,3.7011e+06,3.765e+06,3.6608e+06,4.3633e+06,4.1991e+06,4.308e+06,4.4339e+06,4.5336e+06,4.9052e+06,4.4238e+06,4.709e+06,4.7193e+06,4.8585e+06,4.9253e+06,4.9904e+06,4.9415e+06,4.7478e+06,5.3163e+06,5.4045e+06,5.5965e+06
301,1500,4400,7100,13400,16900,18900,26000,35300,42000,52400,59000,70600,81000,95300,111300,118900,131400,148800,170300,204700,204000,223000,246900,261300,297400,320400,347400,354900,369000,395700,416900,453000,463400,502100,542900,591900,611200,646700,677500,703400,696000,763100,811900,829000,912000,902600,972900,1.1262e+06,1.3035e+06,1.4043e+06,1.4572e+06,1.1644e+06,1.4816e+06,1.6344e+06,1.6215e+06,1.6837e+06,1.8288e+06,1.4782e+06,1.5603e+06,1.5303e+06,1.6352e+06,1.7017e+06,1.9562e+06,2.3898e+06,2.338e+06,2.4085e+06,2.5493e+06,2.5579e+06,2.5977e+06,3.574e+06,2.7936e+06,2.7125e+06,2.9628e+06,3.3792e+06,3.1517e+06,3.2226e+06,3.323e+06,3.6332e+06,3.363e+06,3.4667e+06,3.4843e+06,3.717e+06,3.7602e+06,3.9605e+06,4.0171e+06,4.2403e+06,4.1706e+06,4.6543e+06,4.2089e+06,5.1252e+06,4.8531e+06,4.7364e+06,5.3498e+06,4.3915e+06,4.0751e+06,4.0796e+06,4.0986e+06,4.1341e+06,4.2328e+06,4.348e+06
302,1100,3200,5400,23900,14400,20300,25800,36200,46000,48200,61400,74200,84500,100800,120500,116500,134400,155700,190600,189500,222900,224700,244400,253900,281700,320100,324200,349900,362400,384300,434800,460900,477600,547400,538500,550100,603300,640700,656900,740000,751000,750400,784900,869400,876200,927700,1.0266e+06,975800,1.0265e+06,1.0726e+06,1.1711e+06,1.2637e+06,1.2071e+06,1.2691e+06,1.3252e+06,1.6097e+06,1.4061e+06,1.5233e+06,2.0212e+06,2.1054e+06,2.2379e+06,2.234e+06,2.2935e+06,2.3157e+06,2.9586e+06,2.5321e+06,2.5216e+06,2.5552e+06,2.6909e+06,2.7243e+06,2.9171e+06,2.9845e+06,3.2022e+06,3.2283e+06,3.1991e+06,3.4765e+06,3.3491e+06,3.5045e+06,3.4332e+06,3.7064e+06,3.9709e+06,3.7784e+06,3.7329e+06,3.7824e+06,3.8845e+06,3.958e+06,4.2956e+06,4.4923e+06,4.311e+06,4.6488e+06,4.4587e+06,4.6715e+06,4.9236e+06,4.8563e+06,5.3799e+06,5.2302e+06,5.2286e+06,5.5663e+06,5.4603e+06,5.8299e+06
303,1600,4500,6100,9700,14100,21100,27300,36000,41000,52400,62500,83900,86300,99100,113500,132600,145200,166300,172500,182300,203000,208200,264900,268000,287600,321800,343700,379600,352300,382000,440800,452600,485300,521000,532900,569800,639900,647700,673300,692300,726200,792900,798700,829000,904600,928100,944500,969600,1.032e+06,1.0659e+06,1.1297e+06,1.2061e+06,1.2444e+06,1.3268e+06,1.3078e+06,1.4522e+06,1.4021e+06,1.4585e+06,1.5229e+06,1.5842e+06,1.6222e+06,1.6403e+06,1.7635e+06,1.7898e+06,1.8236e+06,1.9313e+06,1.8935e+06,1.9649e+06,2.0732e+06,2.3192e+06,2.6667e+06,2.7034e+06,2.4377e+06,2.5552e+06,2.7697e+06,2.7224e+06,2.54e+06,2.6779e+06,2.8582e+06,2.7264e+06,3.2501e+06,3.7305e+06,4.0141e+06,4.0347e+06,4.0284e+06,4.3817e+06,4.1277e+06,4.5572e+06,4.297e+06,4.3732e+06,4.5642e+06,4.6637e+06,4.8187e+06,4.99e+06,5.1007e+06,5.2769e+06,5.3346e+06,5.1906e+06,5.4452e+06,4.9282e+06
304,900,2800,6900,11400,16600,21100,27400,35200,45200,53700,56900,95100,131100,98500,107700,112300,137500,146200,162400,193600,210800,211600,242200,265700,278700,299200,328400,357300,355000,410500,453500,463300,557500,487100,533400,567200,610600,632900,668500,705800,757400,806900,833500,848600,881800,919500,1.0008e+06,1.0812e+06,1.0183e+06,1.0816e+06,1.1258e+06,1.1785e+06,1.2399e+06,1.265e+06,1.34e+06,1.3905e+06,1.363e+06,1.4593e+06,1.5354e+06,1.5988e+06,1.5832e+06,1.6005e+06,1.7238e+06,1.7835e+06,1.8645e+06,1.8938e+06,1.9579e+06,2.0116e+06,2.0289e+06,2.4497e+06,2.7359e+06,2.9797e+06,3.0392e+06,3.0875e+06,3.1659e+06,3.6985e+06,3.4159e+06,3.457e+06,3.2199e+06,3.5632e+06,3.5255e+06,3.4286e+06,4.1095e+06,3.7495e+06,5.1224e+06,4.3069e+06,4.4463e+06,4.3997e+06,4.3784e+06,4.6909e+06,4.7661e+06,4.8913e+06,4.9357e+06,4.9484e+06,5.0758e+06,5.0955e+06,5.4059e+06,5.324e+06,6.4032e+06,5.228e+06
305,1500,4200,7700,13100,19500,27900,36700,48200,55500,51900,40900,65400,78600,97700,151700,157200,190900,211400,223300,238000,276700,281200,334800,330300,370400,368600,431600,422000,549100,408000,425700,462400,485400,497200,499500,595900,614100,639800,641100,686900,710400,745500,786900,828000,925600,982400,965400,1.0028e+06,1.073e+06,1.1172e+06,1.1485e+06,1.176e+06,1.2312e+06,1.2603e+06,1.3476e+06,1.3343e+06,1.4212e+06,1.4616e+06,1.5614e+06,1.5268e+06,1.6021e+06,1.6789e+06,1.7422e+06,1.703e+06,2.0845e+06,2.126e+06,2.1978e+06,1.9959e+06,2.1132e+06,2.1342e+06,2.1829e+06,2.2353e+06,2.2948e+06,2.3583e+06,2.3957e+06,2.1487e+06,2.5772e+06,2.6125e+06,2.6882e+06,2.7684e+06,2.7951e+06,3.511e+06,3.7357e+06,3.8827e+06,4.179e+06,4.0426e+06,4.1541e+06,4.3254e+06,4.4951e+06,4.4744e+06,4.6405e+06,5.3755e+06,4.9093e+06,5.2184e+06,5.0814e+06,5.2368e+06,5.3338e+06,5.2239e+06,5.4036e+06,5.4066e+06
