Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
308,1400,3900,6000,5600,11200,8300,11200,11900,14200,15600,17200,19800,28100,24000,23900,26400,28500,30900,32500,35200,59700,44000,64600,46700,54000,35200,53900,51500,69900,67100,66100,76300,77100,62500,62900,78000,90600,61300,79300,75400,86300,84000,94700,113000,154200,104900,107500,106400,105600,176600,176500,140600,142400,136400,124100,123100,115000,122500,146300,141000,119900,135500,131000,126000,155400,138500,156300,261300,231700,459700,197400,157500,196400,153900,184300,175100,163000,282500,353500,299900,296300,358500,303200,328100,324200,329200,281500,170600,328400,375900,442600,239100,343600,278000,219500,229000,283400,251600,245500,232500
309,1600,1800,3400,5900,7700,10500,16100,26300,13400,11000,10400,20100,21500,24200,39500,26100,30700,35400,33900,34600,38900,38900,40700,59600,45600,47900,48600,51100,68400,55800,86900,85300,70900,72800,71000,76000,71900,104700,86100,87000,103700,101700,106100,82100,84900,94800,86700,95800,85700,102400,104300,108100,112200,130000,105400,134900,148200,159200,146200,174200,144900,146200,143000,151900,132100,146200,145200,162600,165000,177300,183100,180200,180500,172800,172700,166100,156000,188000,170900,195900,240500,254600,170900,384700,178900,222900,233800,220000,217400,227700,211000,232800,232500,236100,257700,245200,247700,252500,265500,261700
310,1200,3600,4000,4000,10200,8100,7700,11200,14900,15700,29700,29200,30700,24000,27900,31900,31900,33300,40200,34300,39100,36300,38900,35300,47200,46300,46600,51000,53000,55700,54500,57200,66000,70300,70500,72200,118400,141800,124400,139600,93400,157500,153200,143700,171300,163200,165200,184800,167600,177900,179500,177100,195400,190800,198900,253000,100500,135700,132500,236500,117400,164700,115800,91600,181000,152600,175700,156300,154400,170800,166700,174800,152100,152500,184500,189200,194600,184100,188600,134900,160900,189700,294400,240200,175200,192200,206800,215100,388400,388700,428300,412200,462700,375200,362500,413800,164700,234500,350700,390600
311,1400,3400,6400,7000,8700,15400,11000,16400,20400,17300,19600,21400,22400,26400,26100,29100,33300,53500,60800,61700,64000,63200,67300,73700,76800,75200,80900,82600,84100,62100,58700,102900,64200,127800,119200,116700,121300,142000,128300,137800,152600,134800,106800,161900,164900,165800,91900,83800,106000,191900,164500,235200,190700,171100,125900,183500,195700,129400,200900,132000,155100,157500,158800,152800,176200,165900,158400,158300,162300,167700,234500,176500,237700,255500,283100,291600,296600,288600,300100,241600,285300,252800,200200,197700,195100,210100,206700,202800,213400,212100,290200,216800,399500,360800,374300,264000,245700,191700,263400,234200
312,900,2600,2500,5300,4700,7900,14400,15800,12000,18300,12500,21000,59200,23300,35600,28300,28500,53800,54200,57600,60200,42400,69800,79200,104500,65600,69900,55300,83500,46600,58700,101000,107200,108500,116800,57300,75800,85000,80000,99200,82800,85600,139200,146600,101600,110400,103800,173000,172200,172700,178900,181700,249300,212800,198700,193500,198000,236600,195500,295900,207400,217800,219700,102100,99600,127800,157000,173300,168800,151400,153100,133400,162100,152600,293700,277900,298600,303300,292300,307300,294300,301100,325000,227600,205300,210700,325600,277800,220300,203000,241900,217400,236100,230400,224400,222900,229100,219100,259100,264400
313,1700,3000,4500,6000,7800,8800,10600,11400,15500,15900,17000,23400,27100,25000,30600,46900,28700,24600,40200,38400,40300,37900,48100,58500,46800,69500,77200,53200,49300,62300,53700,55700,64100,59700,76600,67000,64200,68700,63300,75200,71300,141200,150900,98100,106500,106500,115700,112700,116900,96300,96900,101900,178200,180000,201900,196500,213100,212600,218600,208600,213400,215000,216700,235100,241800,229000,126900,151200,173500,245000,262900,170300,301700,203800,186900,294800,350300,330600,327700,290300,320800,305900,373200,345300,469700,321400,140000,225800,224900,354800,217500,237700,234900,212000,249200,242800,256400,223400,229700,257000
314,1100,2600,4100,5400,6700,25600,14400,11300,15000,18500,19700,20400,25300,23000,26300,27600,30400,34000,33200,37700,49900,39000,43500,46600,51200,54000,54100,64600,58800,64200,67800,60600,67900,79500,70200,84500,79600,151200,67100,74800,79100,78800,83100,94800,97000,98400,96600,88800,101400,103800,105800,113600,99700,105100,117200,110600,166600,132100,150000,123000,157200,153400,180800,160800,151800,148800,169500,157200,171400,162900,167100,182100,155200,175700,176800,179900,168900,182100,188000,196100,198700,175900,188400,386900,328000,209700,224800,212900,225300,326200,357200,345500,361400,358800,378900,397700,383200,406100,392900,390100
315,1700,3800,6300,21100,11700,13800,16800,32400,23000,28900,18300,26600,33200,16200,26200,27700,29100,31400,45800,35400,39200,39300,41500,45000,46300,52700,57000,51400,56500,61400,57300,61000,64300,67200,67100,70200,96700,75400,87300,79200,83100,84000,89100,105200,91500,103400,114200,97900,99700,104700,100400,118000,116800,106600,116400,116000,116400,129800,131400,135900,139200,147600,143000,258200,226400,326300,263900,184500,161400,195100,160200,265800,282100,271500,276800,283300,287000,304900,297400,312300,305600,203700,198100,225300,240300,254400,209100,223700,261600,246200,227300,135200,250700,237000,247700,241600,212300,238600,253400,263200
316,1000,2200,3600,4600,6900,7800,10100,10900,17200,18400,19900,23100,25200,24900,27400,39500,33800,35600,38000,36600,38600,46400,58900,44700,47100,52300,49400,51800,53200,55000,56800,59200,63100,66100,68700,68100,69500,73500,77600,80100,81500,90100,93400,85800,99300,94100,91900,109800,102300,109300,109200,111300,109600,118200,119900,122700,122100,128600,132800,134100,124500,150100,142400,110700,162200,218100,141600,155400,162600,164600,151300,176500,171600,178200,182000,192200,109200,170600,165600,194800,174100,212100,202200,204800,208600,217200,223900,190000,219700,223600,222100,218700,228000,241600,213200,242900,249500,253500,252900,266200
317,1100,2500,5100,8300,4200,8400,9700,12100,13700,15800,17500,20300,19900,22400,24500,28300,39500,43200,36100,35000,37500,82600,38700,89300,41300,108600,115900,115100,112800,118300,108800,99200,62500,111900,72600,65100,73900,61700,73700,68300,79300,77900,90100,157600,155000,151500,173300,162900,178700,169400,176200,191100,152000,181900,198400,193900,197600,217100,197500,216600,212900,213600,220000,221600,226200,260300,277300,227300,246300,244500,264600,320700,180900,177900,159900,283100,305400,281100,285600,316900,302500,300600,321600,308700,323400,333300,323800,351300,351300,329900,375900,359900,373700,304600,258000,319500,275300,323900,263100,261200
