Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
859,3500,4100,14300,13200,22000,23100,26700,60700,38200,63800,58500,40800,39100,91400,55900,51500,79400,73400,77700,88900,87600,66700,69200,81100,89300,130400,113900,118600,194400,229300,117300,131500,118500,120000,146100,136600,159500,151600,132000,160700,180500,176300,180300,253600,251300,247600,276000,261200,270900,288100,236900,227600,244300,215800,339000,268100,340100,211000,238400,229800,228300,228400,229900,247500,239000,266300,250100,450900,295200,328100,446700,435900,410800,474600,257300,308000,303200,290100,304800,310300,338700,356000,335600,355400,331500,361000,412200,396400,367600,354600,350200,354700,365700,418300,362300,416600,379700,390700,380200,391300
860,3400,5800,8600,15000,15900,17900,32200,61400,30000,40100,53000,33700,53100,68200,40500,64800,59500,59100,57000,75000,74600,99600,89500,87300,91000,108500,91900,101400,104200,117900,107400,160000,143500,159400,106200,169100,150800,105900,182200,172700,182800,331100,251100,191500,207800,182800,174500,282500,214800,151900,251400,250000,245400,328700,278900,312000,266900,325800,385100,392900,229500,348700,527600,269700,303500,363600,388500,378300,560600,578600,573400,338100,361300,370500,416500,514800,485500,472000,346200,330500,689800,329800,315800,329400,480400,345900,419100,501800,464300,403900,803700,820500,418700,445200,430900,348600,634800,423300,402300,404500
861,9100,6700,11100,16500,16800,18500,26500,39200,39200,46000,56300,72300,81600,92700,47700,80000,69600,62400,70400,72200,90700,79200,69400,76500,85600,116500,93700,100900,117400,117700,105600,117400,111800,119500,116300,116100,144000,222900,174400,231000,164800,157800,151900,260000,292700,183300,199200,178600,208100,207600,330700,231500,213700,325400,319900,261400,219400,221500,347400,276400,261200,321100,491400,383600,245800,404500,397900,401100,420400,415300,385000,459600,355900,313400,244300,317300,421600,298800,512800,542900,422300,609900,329100,549600,535800,401800,454400,360300,313000,386900,430500,628000,502900,626900,375000,368400,464400,403000,533600,533600
862,5300,32500,15800,23100,280200,23400,28500,45800,40500,37100,59300,43000,47600,72000,52400,100000,93100,71500,67000,75800,121600,143400,74900,75400,114400,148100,101500,147700,146600,138500,120700,193500,189700,204200,172800,203300,205300,254800,228800,264800,166100,153100,141400,160600,160400,392600,177900,400600,276700,321400,328800,350500,266000,308700,329300,425000,396400,341200,221200,300800,274700,209100,266600,244900,259900,614500,302900,251900,265500,268900,264900,271000,279600,640400,474700,280200,451400,428600,357000,284100,569600,533900,475400,502500,506900,551900,535300,401000,362800,342100,368600,381700,246500,257300,381100,560800,525500,577400,408900,420300
863,4500,6600,9700,11600,15900,42200,44700,62500,36500,46200,37400,39400,81300,89500,77600,93000,117900,74900,77300,78100,127300,132900,139200,128100,141800,174400,135800,117000,129900,81100,107500,120700,129200,338900,137800,168000,140400,225900,158300,202700,174400,193600,170800,167400,163600,281700,285400,282900,294300,305700,229700,238900,213500,363100,383400,228000,255000,220900,359100,340700,320600,296700,378000,313200,277500,344400,366400,391000,409100,268500,274000,263100,421000,317400,465100,485300,462200,467700,445200,822600,328400,335500,306900,486500,380800,595900,330800,326900,382600,369500,658500,434600,428100,358100,367800,546900,452400,590300,492000,627600
864,5800,10500,27900,19100,14700,41800,37900,39800,47100,52300,72300,63200,49900,75700,58200,81800,80100,113100,98500,121700,125100,88900,79500,81200,85500,109400,92600,106100,185800,181100,174900,203000,189900,217500,203900,226500,224700,174500,175100,155500,161000,162100,169700,150800,166400,164200,166500,186700,222900,230800,256500,217600,231500,220700,208800,335700,348200,345100,386700,378800,349100,354400,366700,253200,251800,326800,334000,261400,430500,403000,433400,441400,459200,451800,361700,488100,454600,480600,496800,303700,370800,399200,320800,526700,327400,441300,551800,378600,439900,476800,684300,429100,473700,521900,375400,462500,756900,921100,727600,528900
865,4200,7100,12900,12800,17200,21900,30200,44300,41100,39400,33100,38900,60000,64400,98000,69700,75900,65900,77900,85400,82600,88000,84700,154400,102400,185800,160600,180200,190200,198800,180700,129000,123500,214800,215300,180400,151300,142500,254500,289600,278600,323200,162000,174800,157100,277700,228200,230100,183500,316400,319300,214700,222500,322500,215500,365200,259800,234100,247900,243500,305200,333100,401300,393400,330800,400200,252000,263000,258800,267900,255700,271600,345100,454200,308500,385600,330100,310700,616800,306100,336300,669200,632500,627000,766400,869600,358200,355700,402800,324900,337500,430700,575500,601000,586200,389500,372500,388000,383900,366000
866,4300,6700,11900,9300,20900,36300,29400,40500,58100,55900,42800,33800,57400,56800,51600,49600,61900,63500,58900,80500,76400,72100,74100,95100,79300,101600,83600,90700,113000,113200,109000,100900,127000,140200,138000,127900,229900,246000,244600,236800,247400,266600,261500,172200,262300,180300,285500,304100,297700,289500,255700,294900,352800,393200,305100,234800,344400,336400,240100,238000,382900,354800,377100,383500,385300,328200,213600,217000,313400,384900,307200,314900,456500,318700,314000,298700,288600,255500,490500,499400,483200,453400,435800,246300,243600,354400,463000,447300,342800,398400,348400,506100,438600,426600,525800,425700,357600,397200,610500,594700
867,5400,14000,14300,20100,25800,33400,40900,48600,58500,63300,60700,60900,77700,90500,82600,108800,100000,108300,115200,83000,122500,90300,99900,81700,85700,97900,73800,112400,116500,122300,126600,123800,115100,121300,132400,175800,213500,216500,206800,100500,105600,165200,240800,179300,205500,190100,182600,182000,219700,195000,234300,212700,213900,206600,217800,209000,214900,218900,202500,292000,255100,240600,238300,264100,256700,261800,320100,257100,432600,319300,427200,423100,435200,338300,429500,408700,682900,707900,307100,332300,308900,318100,341700,370900,382800,395100,422800,347300,670700,566800,546500,450900,435600,405600,418000,238800,376700,385000,395100,369500
868,3400,9600,8900,12500,31900,22400,27700,47500,70900,42500,92700,86400,86300,98200,83300,64700,113300,100500,70700,113600,92700,81500,89000,90100,144100,173200,157800,162800,149600,143500,133100,127700,125300,136000,136500,142200,132900,253500,226100,246400,246300,164600,185200,181300,166000,168700,169000,291700,240200,205800,396800,259200,234100,206000,201400,235200,230200,211700,226800,234600,225900,241900,233000,252700,263500,270400,244600,264600,295700,277200,260000,260900,278100,275600,276300,315100,281900,293700,293100,299100,323300,348300,345500,310800,485000,427100,357600,334400,390200,340400,406700,447100,676100,792500,366500,585900,599400,424500,500400,375000
