Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
171,1400,2400,8500,5500,7300,11800,21500,17900,30100,53900,43700,29100,47800,54200,61200,67200,75000,84200,105800,102800,111300,121200,132600,142500,155500,167300,185500,158700,165700,172200,302600,287100,269300,326200,301000,317900,336000,379800,422200,326100,400200,494700,539200,463400,483200,418100,565800,628800,489500,593100,607900,626200,768800,800800,702800,723700,738800,846000,622500,907600,767500,807500,785600,1.021e+06,1.0082e+06,1.1189e+06,1.0582e+06,938400,1.1474e+06,989700,1.2004e+06,906100,1.3176e+06,1.3018e+06,1.511e+06,1.587e+06,1.5912e+06,1.8489e+06,1.4462e+06,1.5465e+06,1.4967e+06,1.92e+06,1.5171e+06,1.7923e+06,1.7442e+06,1.7e+06,2.0595e+06,1.8027e+06,1.6231e+06,1.3251e+06,1.9261e+06,2.2244e+06,3.5909e+06,3.7965e+06,3.061e+06,3.3636e+06,4.6062e+06,3.4206e+06,3.2434e+06,3.6111e+06
172,1500,3900,7700,10200,17500,20100,31500,32600,40800,347100,63700,74300,74200,75700,109000,104500,136700,139700,152700,189800,173000,186300,191000,253800,250600,298800,318300,330600,390100,362600,371000,365100,348200,211300,305400,347100,265200,343300,287800,309500,286300,389700,418800,344900,367600,418900,527200,426600,491400,553400,482700,573200,769700,725500,656400,1.2321e+06,1.2349e+06,1.001e+06,759600,788600,640600,872100,915700,1.0038e+06,1.0095e+06,1.0008e+06,1.0191e+06,1.1762e+06,1.6882e+06,1.4705e+06,1.5282e+06,1.9513e+06,1.7754e+06,1.9411e+06,1.9434e+06,1.5388e+06,2.034e+06,1.5608e+06,1.9128e+06,2.3343e+06,2.1922e+06,2.3372e+06,2.2273e+06,2.7317e+06,2.9776e+06,3.2002e+06,2.6381e+06,2.9027e+06,2.6234e+06,2.4894e+06,3.0935e+06,2.8567e+06,2.7098e+06,3.3429e+06,3.0252e+06,3.3613e+06,4.3936e+06,3.3387e+06,4.7498e+06,3.9493e+06
173,2000,4400,6100,9300,12500,17300,21200,30300,35200,44100,47800,39000,35400,53900,60200,67600,63600,175900,56800,139500,151000,120300,142800,131700,168300,172900,241100,162400,141700,218200,243900,246300,259500,273900,290200,305100,331400,285200,294000,392000,473800,496900,331000,467900,465600,486700,506500,541500,558100,588200,605100,753400,578800,518800,801300,572100,682400,639500,740000,777500,688200,644900,685800,891600,863800,870600,880100,830100,1.0316e+06,1.0571e+06,1.1191e+06,1.1201e+06,964700,1.3493e+06,1.313e+06,1.548e+06,1.6774e+06,1.0211e+06,1.8092e+06,1.668e+06,1.4552e+06,1.7809e+06,1.8334e+06,1.8272e+06,1.8502e+06,1.3248e+06,1.9837e+06,2.2379e+06,2.7286e+06,2.6856e+06,2.5367e+06,2.9846e+06,2.7273e+06,3.1282e+06,3.4548e+06,3.1749e+06,4.0825e+06,4.1123e+06,3.729e+06,3.874e+06
174,2000,4800,34300,13200,18300,25300,30100,37700,48300,61400,57900,88400,68800,100000,109200,122600,139400,148100,145000,157300,225700,194400,238900,285900,276700,452100,275700,298200,430200,327000,446900,627100,425800,571200,507100,813200,1.3207e+06,826800,600800,519300,517700,546100,544300,533300,556800,1.1774e+06,769000,550900,648500,625700,609900,626500,652200,670300,702000,723000,452600,650500,644700,891600,869500,984500,851700,723900,938800,985000,824200,999700,938200,1.2622e+06,1.1262e+06,1.1818e+06,1.217e+06,1.4787e+06,1.9054e+06,1.8426e+06,2.342e+06,2.0734e+06,1.9389e+06,1.9867e+06,1.8265e+06,1.9138e+06,1.9023e+06,1.8467e+06,1.458e+06,1.9585e+06,1.3767e+06,1.7722e+06,1.8846e+06,1.8233e+06,1.5023e+06,1.9097e+06,2.6358e+06,3.0607e+06,2.7489e+06,2.5468e+06,2.6096e+06,3.0735e+06,3.5328e+06,3.9789e+06
175,42900,5400,8400,39000,17600,19600,34600,38300,45200,54600,137300,73300,106100,98200,109400,109000,117900,129800,143000,157400,173200,259200,275900,287400,288800,272800,315300,342400,312700,354400,354200,401300,706200,687300,456300,500400,546400,589500,521800,595600,678500,823200,664400,798900,842800,1.0181e+06,945200,901600,922600,998300,856100,1.0609e+06,1.1958e+06,1.3907e+06,1.2426e+06,1.2833e+06,1.1519e+06,1.3958e+06,1.4307e+06,1.6295e+06,1.5165e+06,1.5665e+06,1.4714e+06,1.4542e+06,1.4416e+06,1.731e+06,1.7401e+06,1.5884e+06,1.6069e+06,2.0789e+06,1.722e+06,2.0066e+06,2.1527e+06,1.6984e+06,2.1618e+06,2.0112e+06,1.4553e+06,1.6389e+06,2.3578e+06,2.7882e+06,2.2787e+06,2.8829e+06,2.9251e+06,2.4688e+06,3.0535e+06,2.8391e+06,2.9492e+06,3.0182e+06,2.9512e+06,2.9056e+06,2.7843e+06,2.8204e+06,2.9516e+06,3.1609e+06,3.2067e+06,3.1108e+06,3.4038e+06,4.1305e+06,3.5082e+06,4.2901e+06
176,2200,4700,7700,11500,16500,24000,29800,37100,39800,42600,61600,63600,79400,76300,93100,99900,117600,102500,92900,102200,111600,121900,130800,204500,153100,164500,168900,191600,203200,227700,230200,253800,308000,274600,301700,304100,334300,348500,358700,383400,401700,411900,520300,454100,548000,706400,749500,860000,812600,840700,868200,897500,1.0933e+06,1.1681e+06,578700,742400,758300,749900,1.4356e+06,1.0483e+06,1.4839e+06,1.4468e+06,1.3438e+06,1.5101e+06,1.4513e+06,1.766e+06,1.6748e+06,1.8e+06,1.8712e+06,1.6768e+06,1.8067e+06,1.7591e+06,2.3702e+06,2.0802e+06,1.9795e+06,2.1032e+06,2.9868e+06,2.3474e+06,2.4035e+06,2.5479e+06,2.6851e+06,2.9287e+06,3.1034e+06,2.3428e+06,2.8113e+06,2.6716e+06,2.6874e+06,2.7866e+06,3.5081e+06,3.8326e+06,3.4478e+06,3.0148e+06,2.9033e+06,2.8448e+06,3.3772e+06,3.6844e+06,3.7301e+06,3.3443e+06,3.5925e+06,3.5276e+06
177,1700,3600,8500,10000,17600,21300,29100,35100,65400,45500,35300,40400,46300,53200,57600,67800,73800,84700,106500,103100,123600,121300,132100,159800,162600,165600,190200,190200,211700,217500,230800,353000,274700,228800,297800,362600,333400,362000,414300,395800,353500,568200,735800,451500,709700,368900,497700,540600,677900,616600,657200,647600,705500,635900,634700,730000,749500,765000,997800,1.2006e+06,1.1476e+06,1.2733e+06,1.3057e+06,1.436e+06,1.4862e+06,1.4805e+06,725800,1.6055e+06,2.1654e+06,2.2231e+06,2.1451e+06,2.0876e+06,2.257e+06,1.8299e+06,2.072e+06,2.2605e+06,2.5188e+06,2.5763e+06,2.5107e+06,2.1966e+06,2.1265e+06,2.1674e+06,2.5859e+06,2.9722e+06,2.9224e+06,2.8366e+06,3.7128e+06,2.7632e+06,3.198e+06,3.141e+06,2.5426e+06,2.5024e+06,2.5079e+06,2.5172e+06,3.1226e+06,3.6625e+06,3.3917e+06,3.9803e+06,3.7297e+06,3.2763e+06
178,1500,3700,6600,13300,22100,23200,24000,29000,72500,60300,64600,98500,69600,77600,60900,68000,85800,63800,121700,101400,117800,122500,140100,139500,153700,165300,177500,192400,203500,217400,188100,280400,317300,299600,292300,312300,503300,309800,381000,616500,734900,445800,757500,626200,888400,731400,763600,904100,554600,614100,563000,710700,658000,689700,955000,908400,772900,784400,828300,911500,983900,844300,830900,1.1419e+06,905600,1.138e+06,1.0356e+06,833100,803400,1.4431e+06,1.1909e+06,909800,978900,898400,1.3173e+06,1.5503e+06,1.4581e+06,1.4827e+06,1.2705e+06,1.2432e+06,1.6692e+06,2.2823e+06,2.5084e+06,2.3124e+06,1.7164e+06,2.154e+06,2.2773e+06,2.5409e+06,2.6071e+06,2.827e+06,2.8382e+06,3.0722e+06,3.1293e+06,3.9043e+06,3.5256e+06,3.9358e+06,3.5145e+06,3.9208e+06,3.2877e+06,3.3787e+06
179,2200,3500,7700,10300,14200,19800,16800,21000,54900,41000,48500,56200,61900,54100,60500,68300,87700,81400,85200,103500,111700,122100,107100,131900,127300,109300,130800,140300,197200,167600,177000,159200,168000,206400,210500,308800,390200,373200,259700,342500,396600,422600,441500,460300,467700,493800,624100,426000,381500,375300,578600,651000,580400,838900,594600,787500,943900,600900,762600,716600,728800,802800,892500,944800,1.0761e+06,963300,949700,1.0721e+06,849100,1.0218e+06,1.226e+06,1.1771e+06,1.3114e+06,1.7311e+06,1.8826e+06,1.353e+06,2.2316e+06,1.7684e+06,2.0471e+06,2.0689e+06,2.1823e+06,2.1214e+06,1.9798e+06,2.0453e+06,2.5865e+06,2.5296e+06,2.5086e+06,2.1074e+06,1.7551e+06,1.8036e+06,3.2021e+06,2.9761e+06,3.0277e+06,3.6347e+06,3.2117e+06,3.6018e+06,3.2869e+06,3.5195e+06,4.8178e+06,4.7443e+06
180,1800,4100,7800,11500,17000,21000,28200,29400,43200,52800,49900,67900,145100,87800,100200,103700,127500,125900,132900,221000,449100,391300,360000,258600,194400,224900,198800,210600,212900,248400,376400,249600,493100,479400,348000,344700,378000,523200,345400,443600,486400,480600,383200,446100,714300,495400,490600,619400,412600,593000,546800,607900,786400,757500,823200,551200,807500,902700,933200,667400,906900,718500,911400,727300,868800,1.198e+06,1.2509e+06,1.2774e+06,1.2324e+06,1.3631e+06,1.3574e+06,1.3754e+06,928400,1.3813e+06,1.0389e+06,1.0162e+06,1.2589e+06,1.0016e+06,1.1607e+06,2.3756e+06,1.6145e+06,1.7332e+06,1.2305e+06,1.5627e+06,1.6096e+06,1.9665e+06,1.6864e+06,1.7312e+06,2.096e+06,1.8381e+06,1.8444e+06,1.9394e+06,1.9635e+06,1.9986e+06,1.8386e+06,2.8507e+06,2.6308e+06,2.6792e+06,2.5956e+06,2.6321e+06
